Process 0: Starting ES0:100 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 1: Starting ES1:150 training on Rosen dataset at Sat Nov 11 19:22:17 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:17 2017
Process 2: Starting ES2:200 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES0: Generation 0, Mean Error: 10800.612012294709
Process 3: Starting ES3:250 training on Rosen dataset at Sat Nov 11 19:22:18 2017
Setting up the network with 2 inputs and 1 output(s)
Starting ES training at Sat Nov 11 19:22:18 2017
ES0: Generation 660, Mean Error: 6424.598573552979
ES1: Generation 500, Mean Error: 7245.9263216465615
ES0: Generation 670, Mean Error: 6287.573624043665
ES3: Generation 360, Mean Error: 7009.34249077754
ES2: Generation 440, Mean Error: 7726.290448538459
ES1: Generation 510, Mean Error: 7027.739776392315
ES0: Generation 680, Mean Error: 6444.367225593613
ES1: Generation 520, Mean Error: 7054.29751806301
ES2: Generation 450, Mean Error: 8124.0960008274305
ES3: Generation 370, Mean Error: 7674.346975041033
ES0: Generation 690, Mean Error: 6246.940928093833
ES0: Generation 700, Mean Error: 6244.449502733197
ES1: Generation 530, Mean Error: 6840.833593787344
ES2: Generation 460, Mean Error: 7392.387025959745
ES3: Generation 380, Mean Error: 7039.1758856125725
ES0: Generation 710, Mean Error: 6360.216040400556
ES1: Generation 540, Mean Error: 6622.792712397356
ES2: Generation 470, Mean Error: 7698.932760644841
ES0: Generation 720, Mean Error: 6441.265314723149
ES3: Generation 390, Mean Error: 8413.859031089034
ES1: Generation 550, Mean Error: 6610.771257203137
ES0: Generation 730, Mean Error: 6653.386895102752
ES2: Generation 480, Mean Error: 7604.204478456362
ES0: Generation 740, Mean Error: 7033.438254360671
ES1: Generation 560, Mean Error: 6531.6478857332995
ES3: Generation 400, Mean Error: 8173.135635372154
ES0: Generation 750, Mean Error: 6880.132402946751
ES2: Generation 490, Mean Error: 8446.541810333989
ES1: Generation 570, Mean Error: 6564.610714274881
ES0: Generation 760, Mean Error: 6568.753086835045
ES3: Generation 410, Mean Error: 7875.057352916429
ES2: Generation 500, Mean Error: 9788.884383854072
ES1: Generation 580, Mean Error: 6625.867792876279
ES0: Generation 770, Mean Error: 7107.203705714102
ES1: Generation 590, Mean Error: 6577.609548902734
ES3: Generation 420, Mean Error: 7722.990624867275
ES0: Generation 780, Mean Error: 7485.93576683143
ES2: Generation 510, Mean Error: 7254.286837643633
ES0: Generation 790, Mean Error: 7181.101618152778
ES1: Generation 600, Mean Error: 7003.927570044085
ES2: Generation 520, Mean Error: 8017.014369752686
ES3: Generation 430, Mean Error: 7101.686646450847
ES0: Generation 800, Mean Error: 6864.70351715594
ES1: Generation 610, Mean Error: 6597.390393455284
ES0: Generation 810, Mean Error: 6778.676012516429
ES2: Generation 530, Mean Error: 6838.844894290021
ES3: Generation 440, Mean Error: 7482.395230166829
ES1: Generation 620, Mean Error: 7213.374792171121
ES0: Generation 820, Mean Error: 6881.607884415201
ES2: Generation 540, Mean Error: 6724.586613298324
ES0: Generation 830, Mean Error: 6852.335215153746
ES1: Generation 630, Mean Error: 7093.2943802882955
ES3: Generation 450, Mean Error: 7592.025716028884
ES0: Generation 840, Mean Error: 7125.0227035921835
ES2: Generation 550, Mean Error: 6626.141315962378
ES1: Generation 640, Mean Error: 6976.4986289647095
ES0: Generation 850, Mean Error: 7116.7324086133485
ES3: Generation 460, Mean Error: 7808.228712450851
ES1: Generation 650, Mean Error: 7307.945510819632
ES2: Generation 560, Mean Error: 7642.41246700182
ES0: Generation 860, Mean Error: 6641.6057071286405
ES0: Generation 870, Mean Error: 6733.450839947884
ES3: Generation 470, Mean Error: 7620.981759491446
ES1: Generation 660, Mean Error: 7127.356956028556
ES2: Generation 570, Mean Error: 7169.471116415785
ES0: Generation 880, Mean Error: 7251.268458692736
ES1: Generation 670, Mean Error: 6955.986251579501
ES3: Generation 480, Mean Error: 7325.219755288137
ES2: Generation 580, Mean Error: 7077.775567567808
ES0: Generation 890, Mean Error: 6990.969916483813
ES1: Generation 680, Mean Error: 6838.8906244148675
ES0: Generation 900, Mean Error: 6672.439485649759
ES2: Generation 590, Mean Error: 7050.101780705821
ES3: Generation 490, Mean Error: 8336.528447314216
ES1: Generation 690, Mean Error: 6736.886095009861
ES0: Generation 910, Mean Error: 6626.134814635367
ES0: Generation 920, Mean Error: 6555.695714608917
ES2: Generation 600, Mean Error: 6911.486736640604
ES1: Generation 700, Mean Error: 6567.848210988573
ES3: Generation 500, Mean Error: 7692.876823784538
ES0: Generation 930, Mean Error: 6412.252640306548
ES1: Generation 710, Mean Error: 6479.482895395139
ES2: Generation 610, Mean Error: 7499.954302587772
ES0: Generation 940, Mean Error: 6521.564770787709
ES3: Generation 510, Mean Error: 7575.3042150178535
ES1: Generation 720, Mean Error: 6629.569120700939
ES0: Generation 950, Mean Error: 6791.3949172500415
ES2: Generation 620, Mean Error: 7451.59343120581
ES0: Generation 960, Mean Error: 6705.790071663382
ES3: Generation 520, Mean Error: 8286.248979016054
