Process 0: Starting GA0 training on Rosen dataset at Sat Nov 11 19:23:09 2017
Setting up the network with 2 inputs and 1 output(s)
Process 1: Starting GA1 training on Rosen dataset at Sat Nov 11 19:23:09 2017
Setting up the network with 2 inputs and 1 output(s)
GA0: Generation 4000, Mean Error: 5958.264309171036
GA2: Generation 4000, Mean Error: 6348.94966296461
GA3: Generation 4000, Mean Error: 5981.696791779054
GA1: Generation 4000, Mean Error: 6091.40038300363
GA0: Generation 4100, Mean Error: 6252.023684098397
GA2: Generation 4100, Mean Error: 6179.506447739761
GA1: Generation 4100, Mean Error: 6024.306203360507
GA3: Generation 4100, Mean Error: 5964.688010626232
GA0: Generation 4200, Mean Error: 6085.7098621447685
GA2: Generation 4200, Mean Error: 6101.304741058529
GA1: Generation 4200, Mean Error: 6068.8403879712
GA3: Generation 4200, Mean Error: 6022.708087547115
GA0: Generation 4300, Mean Error: 5978.501746525113
GA2: Generation 4300, Mean Error: 6036.500156850928
GA1: Generation 4300, Mean Error: 6064.316770038143
GA3: Generation 4300, Mean Error: 6079.903715742858
GA0: Generation 4400, Mean Error: 6152.236093916996
GA2: Generation 4400, Mean Error: 5962.042052792907
GA1: Generation 4400, Mean Error: 6093.569785638478
GA3: Generation 4400, Mean Error: 6104.537957432065
GA0: Generation 4500, Mean Error: 6136.690669748209
GA2: Generation 4500, Mean Error: 6001.499687446444
GA1: Generation 4500, Mean Error: 6018.8910991850225
GA3: Generation 4500, Mean Error: 6085.1530308533775
GA0: Generation 4600, Mean Error: 5963.012758683568
GA2: Generation 4600, Mean Error: 5905.470940880099
GA1: Generation 4600, Mean Error: 5975.011784751046
GA3: Generation 4600, Mean Error: 5863.9691195340565
GA0: Generation 4700, Mean Error: 6063.187188598229
GA2: Generation 4700, Mean Error: 5944.925716097991
GA1: Generation 4700, Mean Error: 5909.1535978590755
GA3: Generation 4700, Mean Error: 5924.502400870693
GA0: Generation 4800, Mean Error: 6056.378124880998
GA2: Generation 4800, Mean Error: 5946.468589363573
GA1: Generation 4800, Mean Error: 5990.99856734238
GA3: Generation 4800, Mean Error: 5864.649186081805
GA0: Generation 4900, Mean Error: 6213.439850255301
GA2: Generation 4900, Mean Error: 6074.4210030250215
GA1: Generation 4900, Mean Error: 5986.1284215831165
GA3: Generation 4900, Mean Error: 5853.680467815462
GA0: Generation 5000, Mean Error: 6289.141148518265
GA2: Generation 5000, Mean Error: 6043.103470340203
GA1: Generation 5000, Mean Error: 6018.504033127985
GA3: Generation 5000, Mean Error: 5802.949563787456
GA0: Generation 5100, Mean Error: 6188.508256944618
GA2: Generation 5100, Mean Error: 6047.584754160057
GA1: Generation 5100, Mean Error: 5997.672517807871
GA3: Generation 5100, Mean Error: 5929.983063498897
GA0: Generation 5200, Mean Error: 6076.4768625796605
GA2: Generation 5200, Mean Error: 6046.551664735562
GA1: Generation 5200, Mean Error: 5904.695708985721
GA3: Generation 5200, Mean Error: 5841.637506121396
GA0: Generation 5300, Mean Error: 6098.746625525751
GA2: Generation 5300, Mean Error: 6041.570103911889
GA1: Generation 5300, Mean Error: 5956.337570264386
GA3: Generation 5300, Mean Error: 5756.1917563931875
GA0: Generation 5400, Mean Error: 6069.443777915633
GA2: Generation 5400, Mean Error: 5912.623234666347
GA1: Generation 5400, Mean Error: 5951.130355116624
GA3: Generation 5400, Mean Error: 5874.776301443441
GA0: Generation 5500, Mean Error: 6051.628863953367
GA2: Generation 5500, Mean Error: 5946.908919949497
GA1: Generation 5500, Mean Error: 6072.042744384217
GA3: Generation 5500, Mean Error: 5917.927405643192
GA0: Generation 5600, Mean Error: 6035.662995815751
GA2: Generation 5600, Mean Error: 5972.840144280255
GA1: Generation 5600, Mean Error: 6036.35559609396
GA3: Generation 5600, Mean Error: 5802.383830372683
GA0: Generation 5700, Mean Error: 6040.561339106451
