Setting up the network with 2 inputs and 1 output(s)
Starting GA training at Fri Nov 10 17:25:26 2017
Generation 1635, Mean Error: 7673.499151955028
Generation 1640, Mean Error: 7679.66380330467
Generation 1645, Mean Error: 7700.977443971238
Generation 1650, Mean Error: 7685.325746162716
Generation 1655, Mean Error: 7681.311900114681
Generation 1660, Mean Error: 7684.065008818105
Generation 1665, Mean Error: 7698.05524890906
Generation 1670, Mean Error: 7699.219522390706
Generation 1675, Mean Error: 7695.832282807802
Generation 1680, Mean Error: 7687.786381776349
Generation 1685, Mean Error: 7661.153125621743
Generation 1690, Mean Error: 7664.62575129083
Generation 1695, Mean Error: 7656.977081009119
Generation 1700, Mean Error: 7655.103111192998
Generation 1705, Mean Error: 7666.9957998073705
Generation 1710, Mean Error: 7685.914103884536
Generation 1715, Mean Error: 7678.356245058257
Generation 1720, Mean Error: 7677.797493738653
Generation 1725, Mean Error: 7665.393795115543
Generation 1730, Mean Error: 7658.072683748328
Generation 1735, Mean Error: 7639.552822009683
Generation 1740, Mean Error: 7615.081198874657
Generation 1745, Mean Error: 7614.687144933178
Generation 1750, Mean Error: 7631.72888987801
Generation 1755, Mean Error: 7640.154217005595
Generation 1760, Mean Error: 7643.899191858579
Generation 1765, Mean Error: 7640.363340344223
Generation 1770, Mean Error: 7641.859167809518
Generation 1775, Mean Error: 7654.623549971058
Generation 1780, Mean Error: 7666.385221877245
Generation 1785, Mean Error: 7680.903707159274
Generation 1790, Mean Error: 7706.024460065615
Generation 1795, Mean Error: 7717.555587597066
Generation 1800, Mean Error: 7728.821643942725
Generation 1805, Mean Error: 7735.23083601077
Generation 1810, Mean Error: 7691.819394921596
Generation 1815, Mean Error: 7678.258412464206
Generation 1820, Mean Error: 7673.0449469376035
Generation 1825, Mean Error: 7668.976170895455
Generation 1830, Mean Error: 7673.705732511054
Generation 1835, Mean Error: 7671.528149534931
Generation 1840, Mean Error: 7697.410588660186
Generation 1845, Mean Error: 7695.532473711444
Generation 1850, Mean Error: 7682.551225818421
Generation 1855, Mean Error: 7686.0955028129365
Generation 1860, Mean Error: 7675.346251873902
Generation 1865, Mean Error: 7665.430339489232
Generation 1870, Mean Error: 7681.090131469622
Generation 1875, Mean Error: 7676.404266386712
Generation 1880, Mean Error: 7675.972199005878
Generation 1885, Mean Error: 7661.53804522027
Generation 1890, Mean Error: 7661.32834030394
Generation 1895, Mean Error: 7664.686821471799
Generation 1900, Mean Error: 7649.775039378589
Generation 1905, Mean Error: 7631.52482549489
Generation 1910, Mean Error: 7628.398530994487
Generation 1915, Mean Error: 7625.994700552004
Generation 1920, Mean Error: 7632.057987885031
Generation 1925, Mean Error: 7643.317017451559
Generation 1930, Mean Error: 7653.780884382787
Generation 1935, Mean Error: 7658.678246490269
Generation 1940, Mean Error: 7683.720412695454
Generation 1945, Mean Error: 7671.661095393338
Generation 1950, Mean Error: 7690.0357165237265
Generation 1955, Mean Error: 7693.389809567168
Generation 1960, Mean Error: 7669.723287966695
Generation 1965, Mean Error: 7637.1194754305325
Generation 1970, Mean Error: 7642.949413761129
Generation 1975, Mean Error: 7695.906113321572
Generation 1980, Mean Error: 7730.068165422539
Generation 1985, Mean Error: 7798.241693920446
Generation 1990, Mean Error: 7872.754124048918
Generation 1995, Mean Error: 7844.884159263205
Generation 2000, Mean Error: 7746.32223809495
Generation 2005, Mean Error: 7707.176355316594
Generation 2010, Mean Error: 7693.097327036786
Generation 2015, Mean Error: 7690.084077099061
Generation 2020, Mean Error: 7650.428182544081
Generation 2025, Mean Error: 7632.931818284249
Generation 2030, Mean Error: 7637.868349696413
Generation 2035, Mean Error: 7624.0672963227225
Generation 2040, Mean Error: 7645.5908340334145
Generation 2045, Mean Error: 7641.886546212786
Generation 2050, Mean Error: 7636.993819734194
Generation 2055, Mean Error: 7594.593806274816
Generation 2060, Mean Error: 7580.46321871079
Generation 2065, Mean Error: 7579.211872069062
Generation 2070, Mean Error: 7573.599865708986
Generation 2075, Mean Error: 7581.861387587595
Generation 2080, Mean Error: 7553.8598452048855
Generation 2085, Mean Error: 7555.667120303916
Generation 2090, Mean Error: 7555.955629289307
Generation 2095, Mean Error: 7556.0192889584305
Generation 2100, Mean Error: 7554.604288487145
Generation 2105, Mean Error: 7548.044542642184
Generation 2110, Mean Error: 7544.909428470072
Generation 2115, Mean Error: 7548.608833260674
Generation 2120, Mean Error: 7543.528131012777
Generation 2125, Mean Error: 7542.908882610914
Generation 2130, Mean Error: 7537.778609423439
Generation 2135, Mean Error: 7538.251052140657
Generation 2140, Mean Error: 7535.500709227267
Generation 2145, Mean Error: 7537.161324211736
Generation 2150, Mean Error: 7538.556012188782
Generation 2155, Mean Error: 7537.264335655401
Generation 2160, Mean Error: 7540.028876849671
Generation 2165, Mean Error: 7536.651008324082
Generation 2170, Mean Error: 7535.286349652823
Generation 2175, Mean Error: 7526.837289529404
Generation 2180, Mean Error: 7525.127660154442
Generation 2185, Mean Error: 7523.516204472592
Generation 2190, Mean Error: 7524.090954008474
Generation 2195, Mean Error: 7522.730794968827
Generation 2200, Mean Error: 7525.772074334766
Generation 2205, Mean Error: 7527.527489900078
Generation 2210, Mean Error: 7528.850796705901
Generation 2215, Mean Error: 7528.108216311951
Generation 2220, Mean Error: 7527.037039061113
Generation 2225, Mean Error: 7532.742953547796
Generation 2230, Mean Error: 7531.025706209723
Generation 2235, Mean Error: 7536.29626553933
Generation 2240, Mean Error: 7535.540482774739
Generation 2245, Mean Error: 7542.46714510552
Generation 2250, Mean Error: 7550.368531272052
Generation 2255, Mean Error: 7550.264431005223
Generation 2260, Mean Error: 7545.6368369289985
Generation 2265, Mean Error: 7541.002079624147
Generation 2270, Mean Error: 7549.215794342889
Generation 2275, Mean Error: 7549.1614055842165
Generation 2280, Mean Error: 7546.063484119389
Generation 2285, Mean Error: 7545.345082559247
